STATE,Initial,First,Weeks,Weeks,Avg. Wkly,Benefits,Final,Month
Alabama,12918,5250,75299,53716,238,12559666,1215,January
Alaska,5105,2239,33450,33608,276,9065613,623,January
Arizona,17551,4050,77961,54980,234,12746879,1388,January
Arkansas,8998,4332,57284,34786,278,9276482,1005,January
California,222158,102237,1545854,1379887,342,465399622,34854,January
Colorado,10920,7678,89285,79850,457,35875664,2251,January
Connecticut,19233,17211,171441,173993,424,69302079,2415,January
Delaware,3587,1927,26754,23705,291,6716921,351,January
District of Columbia,2631,1557,25481,26026,360,9054380,563,January
Florida,25980,10188,155821,104997,254,26298500,6635,January
Georgia,45981,22040,149796,118532,318,34753862,4103,January
Hawaii,5898,2245,28325,26765,541,14009030,435,January
Idaho,7538,4840,45556,36334,349,12168166,746,January
Illinois,55133,48856,560072,486165,419,203262847,6714,January
Indiana,16945,10424,114038,86767,307,26475501,1002,January
Iowa,17461,18970,128238,154466,427,63087185,1795,January
Kansas,10128,4492,47458,36492,402,14287921,1024,January
Kentucky,14700,7319,98923,88066,377,33370778,1394,January
Louisiana,9085,3488,59245,45436,219,9859509,988,January
Maine,5369,3593,35544,30384,355,10598036,308,January
Maryland,16103,9674,122636,114270,353,39201549,1782,January
Massachusetts,30077,24606,302850,289124,546,153772334,4575,January
Michigan,54329,45059,356257,327537,331,105387584,4977,January
Minnesota,20490,21128,270549,235966,488,112770538,2646,January
Mississippi,5119,2167,39703,24399,213,5105134,538,January
Missouri,28576,11540,121674,97008,268,25322389,1914,January
Montana,5154,3964,45011,34202,401,12613971,625,January
Nebraska,4097,3272,21064,23201,360,8245833,248,January
Nevada,10527,5207,79939,66985,378,24541991,1332,January
New Hampshire,2452,1535,16528,13397,333,4280903,154,January
New Jersey,51886,36426,475753,442938,471,199116065,8232,January
New Mexico,4186,2463,41232,34258,347,11791563,714,January
New York,78414,47288,699858,619727,389,229081420,9878,January
North Carolina,16944,6954,84228,55360,272,14903247,3285,January
North Dakota,3691,3555,27456,27391,486,13231281,534,January
Ohio,35215,27496,291887,247073,387,94749130,2845,January
Oklahoma,7931,4202,67460,61718,408,24786816,1511,January
Oregon,21455,10646,136482,114697,422,47808577,1891,January
Pennsylvania,85069,55085,594580,589092,406,227247119,8036,January
