Province.State,Initial,Year,Month
Alabama,14236,2019,12
Alaska,4428,2019,12
Arizona,14356,2019,12
Arkansas,11305,2019,12
California,198750,2019,12
Colorado,10316,2019,12
Connecticut,29804,2019,12
Delaware,4731,2019,12
District of Columbia,2359,2019,12
Florida,21618,2019,12
Georgia,35039,2019,12
Hawaii,5941,2019,12
Idaho,10338,2019,12
Illinois,70641,2019,12
Indiana,18246,2019,12
Iowa,30805,2019,12
Kansas,11202,2019,12
Kentucky,18627,2019,12
Louisiana,8897,2019,12
Maine,5103,2019,12
Maryland,19813,2019,12
Massachusetts,44970,2019,12
Michigan,55872,2019,12
Minnesota,33556,2019,12
Mississippi,6351,2019,12
Missouri,26348,2019,12
Montana,6973,2019,12
Nebraska,5876,2019,12
Nevada,12006,2019,12
New Hampshire,2886,2019,12
New Jersey,63043,2019,12
New Mexico,4616,2019,12
New York,113097,2019,12
North Carolina,14132,2019,12
North Dakota,4569,2019,12
Ohio,49015,2019,12
Oklahoma,9628,2019,12
Oregon,28832,2019,12
Pennsylvania,105960,2019,12
Puerto Rico,4904,2019,12
Rhode Island,9396,2019,12
South Carolina,14260,2019,12
South Dakota,1986,2019,12
Tennessee,16169,2019,12
Texas,62291,2019,12
Utah,7470,2019,12
Vermont,4457,2019,12
Virgin Islands,141,2019,12
Virginia,15331,2019,12
Washington,42850,2019,12
West Virginia,8321,2019,12
Wisconsin,42188,2019,12
Wyoming,2442,2019,12
Alabama,8841,2019,11
Alaska,4929,2019,11
Arizona,13905,2019,11
Arkansas,7865,2019,11
California,178216,2019,11
Colorado,8960,2019,11
Connecticut,12608,2019,11
Delaware,2596,2019,11
District of Columbia,2125,2019,11
Florida,21545,2019,11
Georgia,19703,2019,11
Hawaii,4296,2019,11
Idaho,6371,2019,11
Illinois,50832,2019,11
Indiana,12288,2019,11
Iowa,17463,2019,11
Kansas,6112,2019,11
Kentucky,10599,2019,11
Louisiana,7858,2019,11
Maine,3308,2019,11
Maryland,11969,2019,11
Massachusetts,24155,2019,11
Michigan,34181,2019,11
Minnesota,27161,2019,11
Mississippi,4508,2019,11
Missouri,14239,2019,11
Montana,6089,2019,11
Nebraska,3746,2019,11
Nevada,10477,2019,11
New Hampshire,1822,2019,11
New Jersey,40869,2019,11
New Mexico,3934,2019,11
New York,65150,2019,11
North Carolina,12554,2019,11
North Dakota,2895,2019,11
Ohio,32922,2019,11
Oklahoma,9510,2019,11
Oregon,17686,2019,11
Pennsylvania,62896,2019,11
Puerto Rico,4314,2019,11
Rhode Island,3613,2019,11
South Carolina,9916,2019,11
South Dakota,1390,2019,11
Tennessee,8866,2019,11
Texas,59306,2019,11
Utah,6122,2019,11
